Date,Close
2026-03-02,87.1900
2026-03-03,90.2000
2026-03-04,91.5600
2026-03-05,96.3100
2026-03-06,108.7700
2026-03-09,104.3300
2026-03-10,105.8600
2026-03-11,108.0500
2026-03-12,118.3900
2026-03-13,119.8900
2026-03-16,115.0300
2026-03-17,118.8400
2026-03-18,121.6700
2026-03-19,117.3600
2026-03-20,121.4300
2026-03-23,110.5600
2026-03-24,114.5400
2026-03-25,113.3900
2026-03-26,117.2600
2026-03-27,124.2000
2026-03-30,129.8300
2026-03-31,127.2500
2026-04-01,124.0900
2026-04-02,137.9200
2026-04-06,138.9400
2026-04-07,138.0800
2026-04-08,124.5800
2026-04-09,126.9600
2026-04-10,124.8200
2026-04-13,128.4700
2026-04-14,123.8500
2026-04-15,122.5900
2026-04-16,125.8400
2026-04-17,116.0400
2026-04-20,121.3200
2026-04-21,128.2500
2026-04-22,129.4000
2026-04-23,134.7200
2026-04-24,132.4000
2026-04-27,134.7200
2026-04-28,139.6000
2026-04-29,150.6300
2026-04-30,147.0900
2026-05-01,142.8000
2026-05-04,147.6100
2026-05-05,144.1700
2026-05-06,133.9500
2026-05-07,134.9700
2026-05-08,133.5900
2026-05-11,138.6600
2026-05-12,144.3000
2026-05-13,142.0400
2026-05-14,143.0000
2026-05-15,148.2300
2026-05-18,149.2900
2026-05-19,152.9600
2026-05-20,144.2700
2026-05-21,142.5400
2026-05-22,140.9200
2026-05-26,137.0000
2026-05-27,131.0300
2026-05-28,130.7800
2026-05-29,129.0900
2026-06-01,135.5000
2026-06-02,137.2700
2026-06-03,140.8600
2026-06-04,136.7400
2026-06-05,133.0200
2026-06-08,135.1500
2026-06-09,131.3000
2026-06-10,134.3000
2026-06-11,128.8300
2026-06-12,125.4300
2026-06-15,121.2100
2026-06-16,115.4700
2026-06-17,114.2300
2026-06-18,114.8700
2026-06-22,112.6900
2026-06-23,111.2600
2026-06-24,106.2900
2026-06-25,109.3100
2026-06-26,105.4800
2026-06-29,107.0800
2026-06-30,106.4400
2026-07-01,103.2700
2026-07-02,103.9800
2026-07-06,104.3500
2026-07-07,108.9200
2026-07-08,112.2100
2026-07-09,109.0100
2026-07-10,108.7000
2026-07-13,117.7900
2026-07-14,120.1700
2026-07-15,121.3800
2026-07-16,119.3000
2026-07-17,123.9600
2026-07-20,125.5100
2026-07-21,128.8500
2026-07-22,131.6800
2026-07-23,139.4900
2026-07-24,136.6900
2026-07-27,124.7600
2026-07-28,120.4900
2026-07-29,129.3100
2026-07-30,127.4800
2026-07-31,129.1700
2026-08-03,122.1200
2026-08-04,115.7800
2026-08-05,114.8800
2026-08-06,118.8700
2026-08-07,117.9800
2026-08-10,125.9200
2026-08-11,127.6100
2026-08-12,127.3000
2026-08-13,125.0300
2026-08-14,126.6000
2026-08-17,130.2900
2026-08-18,130.6600
2026-08-19,130.9100
2026-08-20,134.5400
2026-08-21,134.6400
2026-08-24,132.2100
2026-08-25,126.1500
2026-08-26,127.3500
2026-08-27,130.0100
2026-08-28,129.7000
2026-08-31,133.7000
2026-09-01,141.0000
2026-09-02,141.1500
2026-09-03,142.0900
2026-09-04,141.9600
2026-09-08,146.0300
2026-09-09,149.9700
2026-09-10,158.3800
2026-09-11,154.9000
2026-09-14,156.6600
2026-09-15,161.8600
2026-09-16,156.1700
2026-09-17,155.3100
2026-09-18,153.6200
