Date,Close
2026-03-02,51.3000
2026-03-03,51.2100
2026-03-04,51.5000
2026-03-05,51.2300
2026-03-06,50.5700
2026-03-09,50.3300
2026-03-10,50.0600
2026-03-11,49.6400
2026-03-12,48.8300
2026-03-13,48.8900
2026-03-16,49.3000
2026-03-17,49.5600
2026-03-18,48.9700
2026-03-19,48.9900
2026-03-20,49.0800
2026-03-23,49.2700
2026-03-24,49.2800
2026-03-25,49.3400
2026-03-26,49.0500
2026-03-27,47.8100
2026-03-30,48.3600
2026-03-31,49.3700
2026-04-01,49.4400
2026-04-02,49.5300
2026-04-06,49.8800
2026-04-07,49.8800
2026-04-08,51.2000
2026-04-09,51.3300
2026-04-10,50.7700
2026-04-13,51.6600
2026-04-14,51.7800
2026-04-15,52.1700
2026-04-16,52.0300
2026-04-17,52.4300
2026-04-20,52.6300
2026-04-21,52.3000
2026-04-22,52.2100
2026-04-23,51.8000
2026-04-24,51.4200
2026-04-27,51.8100
2026-04-28,51.8500
2026-04-29,51.9200
2026-04-30,52.1300
2026-05-01,51.9200
2026-05-04,51.5800
2026-05-05,51.5900
2026-05-06,51.8400
2026-05-07,51.5500
2026-05-08,51.2400
2026-05-11,51.1800
2026-05-12,51.5800
2026-05-13,50.9900
2026-05-14,51.2900
2026-05-15,51.1000
2026-05-18,51.7400
2026-05-19,51.1000
2026-05-20,51.6600
2026-05-21,51.7300
2026-05-22,51.9400
2026-05-26,51.8500
2026-05-27,51.4200
2026-05-28,51.2700
2026-05-29,51.5800
2026-06-01,51.4300
2026-06-02,51.4600
2026-06-03,50.8700
2026-06-04,52.1900
2026-06-05,52.3000
2026-06-08,51.9700
2026-06-09,52.4600
2026-06-10,52.2300
2026-06-11,52.6200
2026-06-12,53.3400
2026-06-15,53.5600
2026-06-16,54.3500
2026-06-17,54.0500
2026-06-18,53.5700
2026-06-22,53.7000
2026-06-23,53.8800
2026-06-24,53.7200
2026-06-25,53.4500
2026-06-26,53.5700
2026-06-29,53.7200
2026-06-30,53.6100
2026-07-01,54.7800
2026-07-02,55.6200
2026-07-06,56.1400
2026-07-07,56.0500
2026-07-08,54.9700
2026-07-09,55.5400
2026-07-10,55.7100
2026-07-13,56.0700
2026-07-14,56.1800
2026-07-15,56.5600
2026-07-16,56.7500
2026-07-17,56.2600
2026-07-20,56.0400
2026-07-21,56.1100
2026-07-22,56.0500
2026-07-23,55.8300
2026-07-24,56.3100
2026-07-27,56.8800
2026-07-28,57.6000
2026-07-29,56.6800
2026-07-30,57.0000
2026-07-31,56.9400
2026-08-03,57.3800
2026-08-04,57.8800
2026-08-05,58.0000
2026-08-06,57.8100
2026-08-07,57.6000
2026-08-10,57.8100
2026-08-11,57.8000
2026-08-12,57.9200
2026-08-13,58.2600
2026-08-14,58.1600
2026-08-17,57.5800
2026-08-18,57.8400
2026-08-19,57.4800
2026-08-20,56.9500
2026-08-21,57.4800
2026-08-24,58.2200
2026-08-25,58.3100
2026-08-26,58.2600
2026-08-27,57.8800
2026-08-28,58.1000
2026-08-31,57.7100
2026-09-01,57.2000
2026-09-02,57.6600
2026-09-03,58.5600
2026-09-04,58.1000
2026-09-08,57.3000
2026-09-09,57.0600
2026-09-10,56.8700
2026-09-11,57.2500
2026-09-14,57.0300
2026-09-15,56.8500
2026-09-16,55.9300
2026-09-17,55.8800
2026-09-18,55.9450
