Date,Close
2026-03-02,490.0000
2026-03-03,468.1400
2026-03-04,471.8000
2026-03-05,466.1300
2026-03-06,473.5100
2026-03-09,472.5300
2026-03-10,477.8600
2026-03-11,476.2400
2026-03-12,466.8800
2026-03-13,460.8400
2026-03-16,460.4300
2026-03-17,459.2700
2026-03-18,444.7400
2026-03-19,426.4100
2026-03-20,413.3800
2026-03-23,404.0400
2026-03-24,404.1300
2026-03-25,416.2900
2026-03-26,400.6400
2026-03-27,414.7000
2026-03-30,414.5800
2026-03-31,430.2900
2026-04-01,437.8200
2026-04-02,429.4100
2026-04-06,427.6500
2026-04-07,431.8100
2026-04-08,434.5300
2026-04-09,437.9100
2026-04-10,437.1300
2026-04-13,435.3600
2026-04-14,445.0900
2026-04-15,440.4600
2026-04-16,440.0800
2026-04-17,445.9300
2026-04-20,442.0900
2026-04-21,429.5700
2026-04-22,435.2600
2026-04-23,431.0400
2026-04-24,433.2500
2026-04-27,429.8900
2026-04-28,421.9100
2026-04-29,417.4100
2026-04-30,423.6600
2026-05-01,423.1800
2026-05-04,414.7100
2026-05-05,418.2700
2026-05-06,430.9600
2026-05-07,431.6800
2026-05-08,433.7700
2026-05-11,434.6500
2026-05-12,432.9300
2026-05-13,430.5000
2026-05-14,427.2100
2026-05-15,417.2900
2026-05-18,418.4300
2026-05-19,411.5000
2026-05-20,417.4000
2026-05-21,416.9900
2026-05-22,413.8200
2026-05-26,414.0000
2026-05-27,408.4900
2026-05-28,412.7700
2026-05-29,417.1200
2026-06-01,411.2600
2026-06-02,411.9500
2026-06-03,407.8700
2026-06-04,411.2700
2026-06-05,396.2400
2026-06-08,397.2700
2026-06-09,390.7800
2026-06-10,374.5800
2026-06-11,386.3200
2026-06-12,386.5400
2026-06-15,396.5500
2026-06-16,397.6300
2026-06-17,388.6000
2026-06-18,387.1200
2026-06-22,384.5900
2026-06-23,377.3200
2026-06-24,365.9200
2026-06-25,369.4600
2026-06-26,373.6300
2026-06-29,368.5800
2026-06-30,368.3800
2026-07-01,370.6000
2026-07-02,378.1300
2026-07-06,382.1300
2026-07-07,377.4900
2026-07-08,374.4500
2026-07-09,378.1800
2026-07-10,377.0100
2026-07-13,367.1300
2026-07-14,372.1500
2026-07-15,372.3500
2026-07-16,364.9600
2026-07-17,368.4100
2026-07-20,367.6000
2026-07-21,374.8100
2026-07-22,379.1200
2026-07-23,371.5200
2026-07-24,371.9000
2026-07-27,374.6300
2026-07-28,369.3700
2026-07-29,371.0800
2026-07-30,377.1600
2026-07-31,371.5400
2026-08-03,371.7100
2026-08-04,374.1600
2026-08-05,389.6400
2026-08-06,389.6700
2026-08-07,398.4700
2026-08-10,402.5400
2026-08-11,400.9600
2026-08-12,404.9200
2026-08-13,398.9600
2026-08-14,401.4800
2026-08-17,405.4900
2026-08-18,398.5500
2026-08-19,413.8400
2026-08-20,415.2600
2026-08-21,423.3600
2026-08-24,426.6900
2026-08-25,428.0700
2026-08-26,421.3200
2026-08-27,422.6000
2026-08-28,408.8900
2026-08-31,408.4200
2026-09-01,396.7500
2026-09-02,402.7800
2026-09-03,410.2200
2026-09-04,406.7700
2026-09-08,399.7200
2026-09-09,403.3500
2026-09-10,396.3600
2026-09-11,398.7700
2026-09-14,392.8400
2026-09-15,394.1500
2026-09-16,391.7400
2026-09-17,398.3600
2026-09-18,401.7100
