Date,Close
2026-03-02,27.3300
2026-03-03,27.4600
2026-03-04,27.4100
2026-03-05,27.4800
2026-03-06,27.4700
2026-03-09,27.4600
2026-03-10,27.4500
2026-03-11,27.5500
2026-03-12,27.6800
2026-03-13,27.8900
2026-03-16,27.7300
2026-03-17,27.6800
2026-03-18,27.8500
2026-03-19,27.5800
2026-03-20,27.6800
2026-03-23,27.5600
2026-03-24,27.6500
2026-03-25,27.7000
2026-03-26,27.8100
2026-03-27,27.8400
2026-03-30,27.9800
2026-03-31,27.7800
2026-04-01,27.7300
2026-04-02,27.8600
2026-04-06,27.8300
2026-04-07,27.7500
2026-04-08,27.5300
2026-04-09,27.4800
2026-04-10,27.4400
2026-04-13,27.3800
2026-04-14,27.3200
2026-04-15,27.2900
2026-04-16,27.3700
2026-04-17,27.3600
2026-04-20,27.3200
2026-04-21,27.4700
2026-04-22,27.4800
2026-04-23,27.5300
2026-04-24,27.4800
2026-04-27,27.4500
2026-04-28,27.5300
2026-04-29,27.6100
2026-04-30,27.3600
2026-05-01,27.4100
2026-05-04,27.4800
2026-05-05,27.5000
2026-05-06,27.3500
2026-05-07,27.4100
2026-05-08,27.3400
2026-05-11,27.3500
2026-05-12,27.4500
2026-05-13,27.5100
2026-05-14,27.6200
2026-05-15,27.7700
2026-05-18,27.7000
2026-05-19,27.7900
2026-05-20,27.7300
2026-05-21,27.7300
2026-05-22,27.7700
2026-05-26,27.7500
2026-05-27,27.7500
2026-05-28,27.7000
2026-05-29,27.6600
2026-06-01,27.7600
2026-06-02,27.7600
2026-06-03,27.8600
2026-06-04,27.8400
2026-06-05,28.0200
2026-06-08,28.0300
2026-06-09,28.0100
2026-06-10,28.0500
2026-06-11,27.9500
2026-06-12,27.9500
2026-06-15,27.9700
2026-06-16,27.9300
2026-06-17,28.1800
2026-06-18,28.3000
2026-06-22,28.3600
2026-06-23,28.4500
2026-06-24,28.5300
2026-06-25,28.4800
2026-06-26,28.4600
2026-06-29,28.3700
2026-06-30,28.4100
2026-07-01,28.4900
2026-07-02,28.3400
2026-07-06,28.3200
2026-07-07,28.4000
2026-07-08,28.3600
2026-07-09,28.3600
2026-07-10,28.3900
2026-07-13,28.5000
2026-07-14,28.3900
2026-07-15,28.2500
2026-07-16,28.3400
2026-07-17,28.3300
2026-07-20,28.3900
2026-07-21,28.4800
2026-07-22,28.4500
2026-07-23,28.5600
2026-07-24,28.5800
2026-07-27,28.6000
2026-07-28,28.5800
2026-07-29,28.4200
2026-07-30,28.1400
2026-07-31,28.1700
2026-08-03,28.1700
2026-08-04,28.1600
2026-08-05,28.0900
2026-08-06,28.1900
2026-08-07,28.0700
2026-08-10,28.1400
2026-08-11,28.1400
2026-08-12,28.2000
2026-08-13,28.1800
2026-08-14,28.1100
2026-08-17,28.1000
2026-08-18,28.1400
2026-08-19,27.8800
2026-08-20,27.9100
2026-08-21,27.9000
2026-08-24,27.9600
2026-08-25,27.9400
2026-08-26,28.0200
2026-08-27,28.0200
2026-08-28,28.1800
2026-08-31,28.1200
2026-09-01,28.2100
2026-09-02,28.1700
2026-09-03,28.0100
2026-09-04,28.0800
2026-09-08,27.9900
2026-09-09,27.9800
2026-09-10,28.0300
2026-09-11,28.0700
2026-09-14,28.1700
2026-09-15,28.2200
2026-09-16,28.4000
2026-09-17,28.3800
2026-09-18,28.3850
