Date,Close
2026-03-02,263.8100
2026-03-03,259.2400
2026-03-04,261.7600
2026-03-05,256.7600
2026-03-06,250.8900
2026-03-09,253.6200
2026-03-10,253.3600
2026-03-11,252.8500
2026-03-12,247.4100
2026-03-13,246.5900
2026-03-16,248.9200
2026-03-17,250.0500
2026-03-18,246.0200
2026-03-19,247.6300
2026-03-20,242.2200
2026-03-23,247.4500
2026-03-24,248.7800
2026-03-25,251.8200
2026-03-26,247.4400
2026-03-27,243.1000
2026-03-30,239.6100
2026-03-31,248.0000
2026-04-01,249.5600
2026-04-02,251.2900
2026-04-06,252.3600
2026-04-07,252.9100
2026-04-08,260.4700
2026-04-09,261.9600
2026-04-10,261.3000
2026-04-13,265.0700
2026-04-14,268.7200
2026-04-15,269.3900
2026-04-16,269.9500
2026-04-17,275.7800
2026-04-20,277.3500
2026-04-21,274.5100
2026-04-22,276.4800
2026-04-23,275.5200
2026-04-24,276.6500
2026-04-27,277.1400
2026-04-28,273.9100
2026-04-29,272.0800
2026-04-30,277.9700
2026-05-01,279.2800
2026-05-04,277.8800
2026-05-05,282.5600
2026-05-06,286.8000
2026-05-07,282.2600
2026-05-08,284.1700
2026-05-11,285.3300
2026-05-12,282.5700
2026-05-13,282.6700
2026-05-14,284.4500
2026-05-15,277.6000
2026-05-18,275.9700
2026-05-19,273.0000
2026-05-20,279.8700
2026-05-21,282.4900
2026-05-22,285.1200
2026-05-26,290.5100
2026-05-27,290.3700
2026-05-28,292.0300
2026-05-29,290.4300
2026-06-01,288.9800
2026-06-02,291.6600
2026-06-03,287.6700
2026-06-04,292.0100
2026-06-05,281.6500
2026-06-08,284.1100
2026-06-09,285.0200
2026-06-10,282.0500
2026-06-11,290.4100
2026-06-12,292.9500
2026-06-15,294.6400
2026-06-16,292.0800
2026-06-17,289.8800
2026-06-18,295.5900
2026-06-22,298.1800
2026-06-23,295.3200
2026-06-24,296.6900
2026-06-25,298.9100
2026-06-26,299.8300
2026-06-29,298.9700
2026-06-30,300.4500
2026-07-01,299.3200
2026-07-02,297.5800
2026-07-06,298.9000
2026-07-07,296.1900
2026-07-08,293.4800
2026-07-09,297.2400
2026-07-10,295.9900
2026-07-13,293.4800
2026-07-14,294.5100
2026-07-15,295.7700
2026-07-16,295.5900
2026-07-17,294.0400
2026-07-20,292.3100
2026-07-21,296.5400
2026-07-22,293.7900
2026-07-23,292.0900
2026-07-24,291.1700
2026-07-27,292.9100
2026-07-28,293.3700
2026-07-29,288.5700
2026-07-30,292.5900
2026-07-31,291.2000
2026-08-03,296.2200
2026-08-04,301.7100
2026-08-05,299.7700
2026-08-06,298.2500
2026-08-07,301.5600
2026-08-10,299.9800
2026-08-11,300.9900
2026-08-12,302.7100
2026-08-13,303.5000
2026-08-14,305.0900
2026-08-17,304.0600
2026-08-18,300.2300
2026-08-19,301.7200
2026-08-20,297.6700
2026-08-21,299.9600
2026-08-24,297.9700
2026-08-25,299.2300
2026-08-26,298.9300
2026-08-27,299.8100
2026-08-28,295.7500
2026-08-31,293.9300
2026-09-01,290.5700
2026-09-02,294.0100
2026-09-03,295.1900
2026-09-04,296.0100
2026-09-08,294.6700
2026-09-09,290.6400
2026-09-10,287.7000
2026-09-11,288.8900
2026-09-14,287.9100
2026-09-15,285.1400
2026-09-16,283.9200
2026-09-17,285.4300
2026-09-18,283.5500
